Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711900129.051764 "[1009415264, 1009415264]" 0.0031 63815 1.0 0
2 1711900130.051764 "[10094152, 1009415264, 1009415264, 100941526494, 100941526496]" 0.0078 63815 1.0 0
3 1711900131.051764 "[10094, 10094152, 1009415264, 1009415264, 100941526494, 100941526496]" 0.0078 63815 1.0 0
1 1711900136.992137 "[1009415264, 1009415264]" 0.0031 63815 0.9 0
2 1711900137.992137 "[1009415264, 1009415264, 100941526494, 100941526496]" 0.0063 63815 0.9 0
3 1711900138.992137 "[10094152, 1009415264, 1009415264, 100941526494, 100941526496, 100941526494, 100941526496]" 0.0110 63815 0.9 0
4 1711900139.992137 "[10094, 10094152, 1009415264, 1009415264, 100941526494, 100941526496, 100941526494, 100941526496]" 0.0110 63815 0.9 0
1 1711900150.433504 [1009415264] 0.0016 63815 0.8 0
2 1711900151.433504 "[1009415264, 1009415264]" 0.0031 63815 0.8 0
3 1711900152.433504 "[10094152, 1009415264, 1009415264, 100941526494, 100941526496]" 0.0078 63815 0.8 0
4 1711900153.433504 "[10094, 10094152, 1009415264, 1009415264, 100941526494, 100941526496]" 0.0078 63815 0.8 0
1 1711900159.2952168 "[1009415264, 1009415264]" 0.0031 63815 0.7 0
2 1711900160.2952168 "[10094152, 1009415264, 1009415264, 100941526494, 100941526496]" 0.0078 63815 0.7 0
3 1711900161.2952168 "[10094, 10094152, 1009415264, 1009415264, 100941526494, 100941526496]" 0.0078 63815 0.7 0
1 1711900166.812905 "[1009415264, 1009415264]" 0.0031 63815 0.6 0
2 1711900167.812905 "[1009415264, 1009415264, 100941526496]" 0.0047 63815 0.6 0
3 1711900168.812905 "[10094152, 1009415264, 1009415264, 100941526494, 100941526496]" 0.0078 63815 0.6 0
4 1711900169.812905 "[10094152, 1009415264, 100941524, 100941526, 1009415264, 100941526494, 100941526494, 100941526496]" 0.0125 63815 0.6 0
5 1711900170.812905 "[10094152, 1009415264, 100941524, 100941526, 1009415264, 1009415264, 100941526494, 100941526496, 100941526494, 100941526496]" 0.0157 63815 0.6 0
6 1711900171.812905 "[10094, 10094152, 1009415264, 100941524, 100941526, 1009415264, 1009415264, 100941526494, 100941526496, 100941526494, 100941526496]" 0.0157 63815 0.6 0
1 1711900196.882126 "[1009415264, 1009415264]" 0.0031 63815 0.5 0
2 1711900197.882126 "[1009415264, 1009415264, 100941526496]" 0.0047 63815 0.5 0
3 1711900198.882126 "[1009415264, 1009415264, 100941526496, 100941526494, 100941526496]" 0.0078 63815 0.5 0
4 1711900199.882126 "[10094152, 1009415264, 1009415264, 100941526494, 100941526496, 100941526494, 100941526496]" 0.0110 63815 0.5 0
5 1711900200.882126 "[10094152, 1009415264, 100941524, 1009415264, 1009415264, 100941526494, 100941526496, 100941526494, 100941526496]" 0.0141 63815 0.5 0
6 1711900201.882126 "[10094152, 1009415264, 100941524, 100941526, 1009415264, 1009415264, 100941526494, 100941526496, 100941526494, 100941526496]" 0.0157 63815 0.5 0
