Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711888384.698168 "[10085886, 10085886]" 0.0041 48735 1.0 0
2 1711888385.698168 "[1008588, 10085886, 10085886]" 0.0062 48735 1.0 0
3 1711888386.698168 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 1.0 0
4 1711888387.698168 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 1.0 0
5 1711888388.698168 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 1.0 0
6 1711888389.698168 "[100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0144 48735 1.0 0
7 1711888390.698168 "[100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 1.0 0
8 1711888391.698168 "[1008, 100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 1.0 0
1 1711888417.095829 [10085886] 0.0021 48735 0.9 0
2 1711888418.095829 "[10085886, 10085886]" 0.0041 48735 0.9 0
3 1711888419.095829 "[1008588, 10085886, 10085886]" 0.0062 48735 0.9 0
4 1711888420.095829 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.9 0
5 1711888421.095829 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.9 0
6 1711888422.095829 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.9 0
7 1711888423.095829 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.9 0
8 1711888424.095829 "[100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0144 48735 0.9 0
9 1711888425.095829 "[100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.9 0
10 1711888426.095829 "[1008, 100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.9 0
1 1711888453.4107342 "[10085886, 10085886]" 0.0041 48735 0.8 0
2 1711888454.4107342 "[1008588, 10085886, 10085886]" 0.0062 48735 0.8 0
3 1711888455.4107342 "[1008588, 10085886, 10085886]" 0.0062 48735 0.8 0
4 1711888456.4107342 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.8 0
5 1711888457.4107342 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.8 0
6 1711888458.4107342 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.8 0
7 1711888459.4107342 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.8 0
8 1711888460.4107342 "[100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0144 48735 0.8 0
9 1711888461.4107342 "[100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0144 48735 0.8 0
10 1711888462.4107342 "[100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0144 48735 0.8 0
11 1711888463.4107342 "[100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.8 0
12 1711888464.4107342 "[1008, 100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.8 0
1 1711888503.83127 "[10085886, 10085886]" 0.0041 48735 0.7 0
2 1711888504.83127 "[1008588, 10085886, 10085886]" 0.0062 48735 0.7 0
3 1711888505.83127 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.7 0
4 1711888506.83127 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.7 0
5 1711888507.83127 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.7 0
6 1711888508.83127 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.7 0
7 1711888509.83127 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.7 0
8 1711888510.83127 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.7 0
9 1711888511.83127 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.7 0
10 1711888512.83127 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.7 0
11 1711888513.83127 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.7 0
12 1711888514.83127 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.7 0
13 1711888515.83127 "[100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0144 48735 0.7 0
14 1711888516.83127 "[100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.7 0
15 1711888517.83127 "[1008, 100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.7 0
1 1711888567.001309 "[10085886, 10085886]" 0.0041 48735 0.6 0
2 1711888568.001309 "[1008588, 10085886, 10085886]" 0.0062 48735 0.6 0
3 1711888569.001309 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.6 0
4 1711888570.001309 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.6 0
5 1711888571.001309 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.6 0
6 1711888572.001309 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.6 0
7 1711888573.001309 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.6 0
8 1711888574.001309 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.6 0
9 1711888575.001309 "[100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0144 48735 0.6 0
10 1711888576.001309 "[100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.6 0
11 1711888577.001309 "[1008, 100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.6 0
1 1711888610.6481762 "[10085886, 10085886]" 0.0041 48735 0.5 0
2 1711888611.6481762 "[1008588, 10085886, 10085886]" 0.0062 48735 0.5 0
3 1711888612.6481762 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.5 0
4 1711888613.6481762 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.5 0
5 1711888614.6481762 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.5 0
6 1711888615.6481762 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.5 0
7 1711888616.6481762 "[100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0144 48735 0.5 0
8 1711888617.6481762 "[100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0144 48735 0.5 0
9 1711888618.6481762 "[100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.5 0
10 1711888619.6481762 "[100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.5 0
11 1711888620.6481762 "[1008, 100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.5 0
1 1711888660.411722 "[10085886, 10085886]" 0.0041 48735 0.4 0
2 1711888661.411722 "[1008588, 10085886, 10085886]" 0.0062 48735 0.4 0
3 1711888662.411722 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.4 0
4 1711888663.411722 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.4 0
5 1711888664.411722 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.4 0
6 1711888665.411722 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.4 0
7 1711888666.411722 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.4 0
8 1711888667.411722 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.4 0
9 1711888668.411722 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.4 0
10 1711888669.411722 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.4 0
11 1711888670.411722 "[100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0144 48735 0.4 0
12 1711888671.411722 "[100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0144 48735 0.4 0
13 1711888672.411722 "[100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0144 48735 0.4 0
14 1711888673.411722 "[100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.4 0
15 1711888674.411722 "[100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.4 0
16 1711888675.411722 "[100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.4 0
17 1711888676.411722 "[100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886, 10085896]" 0.0185 48735 0.4 0
18 1711888677.411722 "[1008, 100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886, 10085896]" 0.0185 48735 0.4 0
1 1711888919.118706 [10085886] 0.0021 48735 0.3 0
2 1711888920.118706 [10085886] 0.0021 48735 0.3 0
3 1711888921.118706 "[10085886, 10085886]" 0.0041 48735 0.3 0
4 1711888922.118706 "[10085886, 10085886]" 0.0041 48735 0.3 0
5 1711888923.118706 "[1008588, 10085886, 10085886]" 0.0062 48735 0.3 0
6 1711888924.118706 "[1008588, 10085886, 10085886]" 0.0062 48735 0.3 0
7 1711888925.118706 "[1008588, 10085886, 10085886]" 0.0062 48735 0.3 0
8 1711888926.118706 "[1008588, 10085886, 10085886]" 0.0062 48735 0.3 0
9 1711888927.118706 "[1008588, 10085886, 10085886]" 0.0062 48735 0.3 0
10 1711888928.118706 "[1008588, 10085886, 10085886]" 0.0062 48735 0.3 0
11 1711888929.118706 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.3 0
12 1711888930.118706 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.3 0
13 1711888931.118706 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.3 0
14 1711888932.118706 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.3 0
15 1711888933.118706 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.3 0
16 1711888934.118706 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.3 0
17 1711888935.118706 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.3 0
18 1711888936.118706 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.3 0
19 1711888937.118706 "[100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0144 48735 0.3 0
20 1711888938.118706 "[100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0144 48735 0.3 0
21 1711888939.118706 "[100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.3 0
22 1711888940.118706 "[100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.3 0
23 1711888941.118706 "[100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0164 48735 0.3 0
24 1711888942.118706 "[100858, 100858, 100858, 1008588, 1008588, 1008588, 10085886, 10085886, 10085896]" 0.0185 48735 0.3 0
25 1711888943.118706 "[100858, 100858, 100858, 1008588, 10085896, 1008588, 1008588, 10085886, 10085886, 10085896, 10085898]" 0.0226 48735 0.3 0
26 1711888944.118706 "[100858, 100858, 100858, 1008588, 10085896, 10085898, 1008588, 1008588, 10085886, 10085886, 10085896, 10085898]" 0.0246 48735 0.3 0
27 1711888945.118706 "[1008, 100858, 100858, 100858, 1008588, 10085896, 10085898, 1008588, 1008588, 10085886, 10085886, 10085896, 10085898]" 0.0246 48735 0.3 0
1 1711889049.4492958 [10085886] 0.0021 48735 0.2 0
2 1711889050.4492958 [10085886] 0.0021 48735 0.2 0
3 1711889051.4492958 [10085886] 0.0021 48735 0.2 0
4 1711889052.4492958 [10085886] 0.0021 48735 0.2 0
5 1711889053.4492958 [10085886] 0.0021 48735 0.2 0
6 1711889054.4492958 [10085886] 0.0021 48735 0.2 0
7 1711889055.4492958 [10085886] 0.0021 48735 0.2 0
8 1711889056.4492958 [10085886] 0.0021 48735 0.2 0
9 1711889057.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
10 1711889058.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
11 1711889059.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
12 1711889060.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
13 1711889061.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
14 1711889062.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
15 1711889063.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
16 1711889064.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
17 1711889065.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
18 1711889066.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
19 1711889067.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
20 1711889068.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
21 1711889069.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
22 1711889070.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
23 1711889071.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
24 1711889072.4492958 "[10085886, 10085886]" 0.0041 48735 0.2 0
25 1711889073.4492958 "[1008588, 10085886, 10085886]" 0.0062 48735 0.2 0
26 1711889074.4492958 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.2 0
27 1711889075.4492958 "[1008588, 1008588, 10085886, 10085886]" 0.0082 48735 0.2 0
28 1711889076.4492958 "[1008588, 1008588, 1008588, 10085886, 10085886]" 0.0103 48735 0.2 0
29 1711889077.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
30 1711889078.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
31 1711889079.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
32 1711889080.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
33 1711889081.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
34 1711889082.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
35 1711889083.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
36 1711889084.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
37 1711889085.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
38 1711889086.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
39 1711889087.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
40 1711889088.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
41 1711889089.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
42 1711889090.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
43 1711889091.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
44 1711889092.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
45 1711889093.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
46 1711889094.4492958 "[100858, 1008588, 1008588, 1008588, 10085886, 10085886]" 0.0123 48735 0.2 0
