Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711892239.503585 "[200278888, 2002788884, 20027888844, 20027888846]" 0.0225 17804 1.0 0
2 1711892240.503585 "[200278888, 200278888, 20027888844, 20027888846, 2002788884, 20027888844, 20027888846]" 0.0393 17804 1.0 0
3 1711892241.503585 "[200278888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 20027888844, 20027888846]" 0.0449 17804 1.0 0
4 1711892242.503585 "[2002788, 200278888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0618 17804 1.0 0
5 1711892243.503585 "[200278, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0843 17804 1.0 0
6 1711892244.503585 "[200278, 200278, 20027886, 20027888, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1011 17804 1.0 0
7 1711892245.503585 "[200278, 200278, 200278, 20027886, 20027888, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1067 17804 1.0 0
8 1711892246.503585 "[2002, 200278, 200278, 200278, 20027886, 20027888, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1067 17804 1.0 0
1 1711892318.462794 "[200278888, 2002788884, 20027888844, 20027888846]" 0.0225 17804 0.9 0
2 1711892319.462794 "[200278888, 200278888, 20027888844, 2002788884, 20027888844, 20027888846]" 0.0337 17804 0.9 0
3 1711892320.462794 "[200278888, 200278888, 200278888, 20027888844, 2002788884, 20027888844, 20027888846]" 0.0393 17804 0.9 0
4 1711892321.462794 "[2002788, 200278888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0618 17804 0.9 0
5 1711892322.462794 "[200278, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0843 17804 0.9 0
6 1711892323.462794 "[200278, 200278, 20027886, 20027888, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1011 17804 0.9 0
7 1711892324.462794 "[200278, 200278, 200278, 20027886, 20027888, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1067 17804 0.9 0
8 1711892325.462794 "[200278, 200278, 200278, 20027886, 20027888, 2002788, 2002788, 200278888, 20027874, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1180 17804 0.9 0
9 1711892326.462794 "[2002, 200278, 200278, 200278, 20027886, 20027888, 2002788, 2002788, 200278888, 20027874, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1180 17804 0.9 0
1 1711892417.155206 "[2002788884, 20027888844, 20027888846]" 0.0169 17804 0.8 0
2 1711892418.155206 "[200278888, 20027888844, 20027888846, 2002788884, 20027888844, 20027888846]" 0.0337 17804 0.8 0
3 1711892419.155206 "[200278888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 20027888844, 20027888846]" 0.0449 17804 0.8 0
4 1711892420.155206 "[2002788, 200278888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0562 17804 0.8 0
5 1711892421.155206 "[200278, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0843 17804 0.8 0
6 1711892422.155206 "[200278, 200278, 20027888, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0955 17804 0.8 0
7 1711892423.155206 "[200278, 200278, 200278, 20027888, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1011 17804 0.8 0
8 1711892424.155206 "[2002, 200278, 200278, 200278, 20027888, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1011 17804 0.8 0
1 1711892491.938793 "[2002788884, 20027888844, 20027888846]" 0.0169 17804 0.7 0
2 1711892492.938793 "[200278888, 20027888844, 2002788884, 20027888844, 20027888846]" 0.0281 17804 0.7 0
3 1711892493.938793 "[200278888, 20027888844, 2002788884, 20027888844, 20027888846]" 0.0281 17804 0.7 0
4 1711892494.938793 "[200278888, 200278888, 200278888, 20027888844, 2002788884, 20027888844, 20027888846]" 0.0393 17804 0.7 0
5 1711892495.938793 "[2002788, 200278888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0618 17804 0.7 0
6 1711892496.938793 "[200278, 2002788, 200278888, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0730 17804 0.7 0
7 1711892497.938793 "[200278, 200278, 20027888, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0955 17804 0.7 0
8 1711892498.938793 "[200278, 200278, 200278, 20027888, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1011 17804 0.7 0
9 1711892499.938793 "[2002, 200278, 200278, 200278, 20027888, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1011 17804 0.7 0
1 1711892570.360629 "[2002788884, 20027888844, 20027888846]" 0.0169 17804 0.6 0
2 1711892571.360629 "[20027888844, 20027888846, 2002788884, 20027888844, 20027888846]" 0.0281 17804 0.6 0
3 1711892572.360629 "[200278888, 200278888, 20027888844, 20027888846, 2002788884, 20027888844, 20027888846]" 0.0393 17804 0.6 0
4 1711892573.360629 "[200278888, 200278888, 20027888844, 20027888846, 2002788884, 20027888844, 20027888846]" 0.0393 17804 0.6 0
5 1711892574.360629 "[2002788, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788884, 20027888844, 20027888846]" 0.0506 17804 0.6 0
6 1711892575.360629 "[2002788, 200278888, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0674 17804 0.6 0
7 1711892576.360629 "[200278, 20027888, 2002788, 200278888, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0843 17804 0.6 0
8 1711892577.360629 "[200278, 200278, 200278, 20027888, 2002788, 200278888, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0955 17804 0.6 0
9 1711892578.360629 "[2002, 200278, 200278, 200278, 20027888, 2002788, 200278888, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0955 17804 0.6 0
1 1711892645.975073 "[200278888, 2002788884, 20027888844]" 0.0169 17804 0.5 0
2 1711892646.975073 "[200278888, 2002788884, 20027888844]" 0.0169 17804 0.5 0
3 1711892647.975073 "[200278888, 20027888844, 2002788884, 20027888844, 20027888846]" 0.0281 17804 0.5 0
4 1711892648.975073 "[200278888, 200278888, 20027888844, 20027888846, 2002788884, 20027888844, 20027888846]" 0.0393 17804 0.5 0
5 1711892649.975073 "[2002788, 200278888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0618 17804 0.5 0
6 1711892650.975073 "[2002788, 200278888, 20027886, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0730 17804 0.5 0
7 1711892651.975073 "[2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0786 17804 0.5 0
8 1711892652.975073 "[2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0786 17804 0.5 0
9 1711892653.975073 "[200278, 20027886, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0899 17804 0.5 0
10 1711892654.975073 "[200278, 200278, 200278, 20027886, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1011 17804 0.5 0
11 1711892655.975073 "[200278, 200278, 200278, 20027886, 2002788, 200278888, 20027874, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1067 17804 0.5 0
12 1711892656.975073 "[2002, 200278, 200278, 200278, 20027886, 2002788, 200278888, 20027874, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1067 17804 0.5 0
1 1711892769.893918 [2002788884] 0.0056 17804 0.4 0
2 1711892770.893918 [2002788884] 0.0056 17804 0.4 0
3 1711892771.893918 "[2002788884, 20027888844, 20027888846]" 0.0169 17804 0.4 0
4 1711892772.893918 "[20027888844, 2002788884, 20027888844, 20027888846]" 0.0225 17804 0.4 0
5 1711892773.893918 "[200278888, 200278888, 20027888844, 2002788884, 20027888844, 20027888846]" 0.0337 17804 0.4 0
6 1711892774.893918 "[2002788, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788884, 20027888844, 20027888846]" 0.0506 17804 0.4 0
7 1711892775.893918 "[200278, 2002788, 200278888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788884, 20027888844, 20027888846]" 0.0618 17804 0.4 0
