Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1713007957.30639 [2002788884] 0.0056 17804 1.0 0
1 2.659397840499878 "[200278888, 2002788884, 20027888844, 20027888846]" 0.0225 17804 1.0 0
2 6.5240797996521 "[200278888, 200278888, 20027888844, 20027888846, 2002788884, 20027888844, 20027888846]" 0.0393 17804 1.0 0
3 12.129982948303223 "[200278888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 20027888844, 20027888846]" 0.0449 17804 1.0 0
4 18.92090606689453 "[2002788, 200278888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0618 17804 1.0 0
5 27.583162784576416 "[200278, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.0843 17804 1.0 0
6 38.880329847335815 "[200278, 200278, 20027886, 20027888, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1011 17804 1.0 0
7 52.189229011535645 "[200278, 200278, 200278, 20027886, 20027888, 2002788, 200278888, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1067 17804 1.0 0
8 66.7438600063324 "[2002, 200278, 200278, 200278, 20027886, 20027888, 2002788, 2002788, 200278888, 20027874, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1236 17804 1.0 0
9 83.49530911445618 "[2002, 2002, 200278, 200278, 200278, 20027886, 20027888, 2002788, 20027874, 2002788, 200278888, 20027874, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1348 17804 1.0 0
10 89.15847897529602 "[2002, 2002, 2002, 200278, 200278, 200278, 20027886, 20027888, 2002788, 20027874, 2002788, 200278888, 20027874, 20027886, 20027888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788886, 2002788884, 2002788886, 20027888844, 20027888846]" 0.1348 17804 1.0 0
0 1713008051.9105148 [200278888464] 0.0056 17804 0.9 0
1 0.9998002052307129 "[200278888464, 200278888464]" 0.0112 17804 0.9 0
2 2.2981791496276855 "[200278888464, 200278888464]" 0.0112 17804 0.9 0
3 3.605412244796753 "[2002788884, 200278888464, 200278888464]" 0.0169 17804 0.9 0
4 6.021082162857056 "[200278888, 2002788884, 200278888464, 20027888844, 20027888846, 200278888464]" 0.0337 17804 0.9 0
5 10.416787147521973 "[200278888, 200278888, 20027888844, 20027888846, 2002788884, 200278888464, 20027888844, 20027888846, 200278888464]" 0.0506 17804 0.9 0
6 16.805785179138184 "[200278888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 200278888464, 20027888844, 20027888846, 200278888464]" 0.0562 17804 0.9 0
7 24.374064207077026 "[2002788, 200278888, 200278888, 200278888, 20027888844, 20027888846, 2002788884, 2002788884, 200278888464, 2002788886, 20027888844, 20027888846, 200278888464]" 0.0730 17804 0.9 0
