Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711960875.896321 "[2005264, 20052648]" 0.0306 6537 1.0 0
2 1711960876.896321 "[2005264, 2005264, 20052648]" 0.0459 6537 1.0 0
3 1711960877.896321 "[2005264, 2005264, 2005264, 20052648]" 0.0612 6537 1.0 0
4 1711960878.896321 "[200526, 2005264, 2005264, 2005264, 20052648]" 0.0765 6537 1.0 0
5 1711960879.896321 "[200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.0918 6537 1.0 0
6 1711960880.896321 "[200526, 200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.1071 6537 1.0 0
7 1711960881.896321 "[20052, 200526, 200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.1071 6537 1.0 0
1 1711960900.632552 "[2005264, 20052648]" 0.0306 6537 0.9 0
2 1711960901.632552 "[2005264, 2005264, 20052648]" 0.0459 6537 0.9 0
3 1711960902.632552 "[2005264, 2005264, 2005264, 20052648]" 0.0612 6537 0.9 0
4 1711960903.632552 "[200526, 2005264, 2005264, 2005264, 20052648]" 0.0765 6537 0.9 0
5 1711960904.632552 "[200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.0918 6537 0.9 0
6 1711960905.632552 "[200526, 200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.1071 6537 0.9 0
7 1711960906.632552 "[20052, 200526, 200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.1071 6537 0.9 0
1 1711960925.1658208 "[2005264, 20052648]" 0.0306 6537 0.8 0
2 1711960926.1658208 "[2005264, 2005264, 20052648]" 0.0459 6537 0.8 0
3 1711960927.1658208 "[2005264, 2005264, 2005264, 20052648]" 0.0612 6537 0.8 0
4 1711960928.1658208 "[200526, 2005264, 2005264, 2005264, 20052648]" 0.0765 6537 0.8 0
5 1711960929.1658208 "[200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.0918 6537 0.8 0
6 1711960930.1658208 "[200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.0918 6537 0.8 0
7 1711960931.1658208 "[200526, 200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.1071 6537 0.8 0
8 1711960932.1658208 "[200526, 200526, 200526, 2005264, 2005264, 2005264, 2005268, 20052648]" 0.1224 6537 0.8 0
9 1711960933.1658208 "[20052, 200526, 200526, 200526, 2005264, 2005264, 2005264, 2005268, 20052648]" 0.1224 6537 0.8 0
1 1711960962.937454 [20052648] 0.0153 6537 0.7 0
2 1711960963.937454 "[2005264, 20052648]" 0.0306 6537 0.7 0
3 1711960964.937454 "[2005264, 2005264, 20052648]" 0.0459 6537 0.7 0
4 1711960965.937454 "[2005264, 2005264, 20052648]" 0.0459 6537 0.7 0
5 1711960966.937454 "[2005264, 2005264, 2005264, 20052648]" 0.0612 6537 0.7 0
6 1711960967.937454 "[2005264, 2005264, 2005264, 20052648]" 0.0612 6537 0.7 0
7 1711960968.937454 "[200526, 2005264, 2005264, 2005264, 20052648]" 0.0765 6537 0.7 0
8 1711960969.937454 "[200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.0918 6537 0.7 0
9 1711960970.937454 "[200526, 200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.1071 6537 0.7 0
10 1711960971.937454 "[200526, 200526, 200526, 2005264, 2005264, 2005264, 2005268, 20052648]" 0.1224 6537 0.7 0
11 1711960972.937454 "[200526, 200526, 200526, 2005264, 2005268, 2005264, 2005264, 2005268, 20052648, 20052672]" 0.1530 6537 0.7 0
12 1711960973.937454 "[200526, 200526, 200526, 2005264, 2005268, 2005264, 2005264, 2005268, 20052648, 20052672]" 0.1530 6537 0.7 0
13 1711960974.937454 "[20052, 200526, 200526, 200526, 2005264, 2005268, 2005264, 2005264, 2005268, 20052648, 20052672]" 0.1530 6537 0.7 0
1 1711961025.018364 "[2005264, 20052648]" 0.0306 6537 0.6 0
2 1711961026.018364 "[2005264, 20052648]" 0.0306 6537 0.6 0
3 1711961027.018364 "[2005264, 2005264, 20052648]" 0.0459 6537 0.6 0
4 1711961028.018364 "[2005264, 2005264, 20052648]" 0.0459 6537 0.6 0
5 1711961029.018364 "[2005264, 2005264, 2005264, 20052648]" 0.0612 6537 0.6 0
6 1711961030.018364 "[200526, 2005264, 2005264, 2005264, 20052648]" 0.0765 6537 0.6 0
7 1711961031.018364 "[200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.0918 6537 0.6 0
8 1711961032.018364 "[200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.0918 6537 0.6 0
9 1711961033.018364 "[200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.0918 6537 0.6 0
10 1711961034.018364 "[200526, 200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.1071 6537 0.6 0
11 1711961035.018364 "[20052, 200526, 200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.1071 6537 0.6 0
1 1711961066.12876 [20052648] 0.0153 6537 0.5 0
2 1711961067.12876 "[2005264, 20052648]" 0.0306 6537 0.5 0
3 1711961068.12876 "[2005264, 2005264, 20052648]" 0.0459 6537 0.5 0
4 1711961069.12876 "[2005264, 2005264, 2005264, 20052648]" 0.0612 6537 0.5 0
5 1711961070.12876 "[200526, 2005264, 2005264, 2005264, 20052648]" 0.0765 6537 0.5 0
6 1711961071.12876 "[200526, 2005264, 2005264, 2005264, 20052648]" 0.0765 6537 0.5 0
7 1711961072.12876 "[200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.0918 6537 0.5 0
8 1711961073.12876 "[200526, 200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.1071 6537 0.5 0
9 1711961074.12876 "[20052, 200526, 200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.1071 6537 0.5 0
1 1711961095.717251 "[2005264, 20052648]" 0.0306 6537 0.4 0
2 1711961096.717251 "[2005264, 20052648]" 0.0306 6537 0.4 0
3 1711961097.717251 "[2005264, 20052648]" 0.0306 6537 0.4 0
4 1711961098.717251 "[2005264, 20052648]" 0.0306 6537 0.4 0
5 1711961099.717251 "[2005264, 20052648]" 0.0306 6537 0.4 0
6 1711961100.717251 "[2005264, 2005264, 20052648]" 0.0459 6537 0.4 0
7 1711961101.717251 "[2005264, 2005264, 20052648]" 0.0459 6537 0.4 0
8 1711961102.717251 "[2005264, 2005264, 2005264, 20052648]" 0.0612 6537 0.4 0
9 1711961103.717251 "[2005264, 2005264, 2005264, 20052648]" 0.0612 6537 0.4 0
10 1711961104.717251 "[200526, 2005264, 2005264, 2005264, 20052648]" 0.0765 6537 0.4 0
11 1711961105.717251 "[200526, 2005264, 2005264, 2005264, 20052648]" 0.0765 6537 0.4 0
12 1711961106.717251 "[200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.0918 6537 0.4 0
13 1711961107.717251 "[200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.0918 6537 0.4 0
14 1711961108.717251 "[200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.0918 6537 0.4 0
15 1711961109.717251 "[200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.0918 6537 0.4 0
16 1711961110.717251 "[200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.0918 6537 0.4 0
17 1711961111.717251 "[200526, 200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.1071 6537 0.4 0
18 1711961112.717251 "[20052, 200526, 200526, 200526, 2005264, 2005264, 2005264, 20052648]" 0.1071 6537 0.4 0
1 1711961161.188292 [20052648] 0.0153 6537 0.3 0
2 1711961162.188292 [20052648] 0.0153 6537 0.3 0
3 1711961163.188292 "[2005264, 20052648]" 0.0306 6537 0.3 0
4 1711961164.188292 "[2005264, 2005264, 20052648]" 0.0459 6537 0.3 0
5 1711961165.188292 "[2005264, 2005264, 2005264, 20052648]" 0.0612 6537 0.3 0
6 1711961166.188292 "[2005264, 2005264, 2005264, 20052648]" 0.0612 6537 0.3 0
