Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712495993.561853 [10038555482] 0.0057 17464 1.0 0
1 1.138474941253662 "[10038555482, 10038555482]" 0.0115 17464 1.0 0
2 2.4748289585113525 "[1003855548, 10038555482, 10038555482]" 0.0172 17464 1.0 0
3 4.579040050506592 "[1003855548, 1003855548, 10038555482, 10038555482]" 0.0229 17464 1.0 0
4 7.454380989074707 "[1003855548, 1003855548, 1003855548, 10038555482, 10038555482]" 0.0286 17464 1.0 0
5 10.987628936767578 "[100385554, 1003855548, 1003855548, 1003855548, 10038555482, 10038555482]" 0.0344 17464 1.0 0
6 15.384254932403564 "[100385554, 100385554, 1003855548, 1003855548, 1003855548, 10038555482, 10038555482]" 0.0401 17464 1.0 0
7 20.39081311225891 "[100385554, 100385554, 100385554, 1003855548, 1003855548, 1003855548, 10038555482, 10038555482]" 0.0458 17464 1.0 0
8 25.739527225494385 "[10038, 100385554, 100385554, 100385554, 1003855548, 1003855548, 1003855548, 10038555482, 10038555482]" 0.0515 17464 1.0 0
9 31.78415608406067 "[10038, 10038, 100385554, 100385554, 100385554, 1003855548, 1003855548, 1003855548, 10038555482, 10038555482]" 0.0573 17464 1.0 0
10 34.50066804885864 "[10038, 10038, 10038, 100385554, 100385554, 100385554, 1003855548, 1003855548, 1003855548, 10038555482, 10038555482]" 0.0573 17464 1.0 0
0 1712496030.5111449 [100385558] 0.0057 17464 0.9 0
1 1.0225181579589844 "[100385558, 100385558]" 0.0115 17464 0.9 0
2 2.3497581481933594 "[10038, 100385558, 100385558]" 0.0172 17464 0.9 0
3 4.462822198867798 "[10038, 10038, 100385558, 100385558]" 0.0229 17464 0.9 0
4 5.808389186859131 "[10038, 10038, 10038, 100385558, 100385558]" 0.0229 17464 0.9 0
0 1712496037.53841 [100385568] 0.0057 17464 0.8 0
1 1.0681788921356201 "[100385568, 100385568]" 0.0115 17464 0.8 0
2 2.7875781059265137 "[10038556, 100385568, 100385568]" 0.0172 17464 0.8 0
3 5.094686985015869 "[10038556, 10038556, 100385568, 100385568]" 0.0229 17464 0.8 0
4 8.127794027328491 "[10038556, 10038556, 10038556, 100385568, 100385568]" 0.0286 17464 0.8 0
5 12.168349027633667 "[10038556, 10038556, 10038556, 100385568, 100385568, 1003855672]" 0.0344 17464 0.8 0
6 18.025455236434937 "[10038, 10038556, 10038556, 10038556, 100385568, 100385568, 1003855672]" 0.0401 17464 0.8 0
7 23.50693106651306 "[10038, 10038, 10038556, 10038556, 10038556, 100385568, 1003855672, 100385568, 1003855672]" 0.0515 17464 0.8 0
