Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1713017701.956773 [10038556242242] 0.0057 17464 1.0 0
1 1.1405878067016602 "[10038556242242, 10038556242242]" 0.0115 17464 1.0 0
2 2.6018598079681396 "[1003855624224, 10038556242242, 10038556242242]" 0.0172 17464 1.0 0
3 4.78678297996521 "[1003855624224, 1003855624224, 10038556242242, 10038556242242]" 0.0229 17464 1.0 0
4 7.584568977355957 "[1003855624224, 1003855624224, 1003855624224, 10038556242242, 10038556242242]" 0.0286 17464 1.0 0
5 11.252981185913086 "[100385562422, 1003855624224, 1003855624224, 1003855624224, 10038556242242, 10038556242242]" 0.0344 17464 1.0 0
6 15.426982879638672 "[100385562422, 100385562422, 1003855624224, 1003855624224, 1003855624224, 10038556242242, 10038556242242]" 0.0401 17464 1.0 0
7 20.220245838165283 "[100385562422, 100385562422, 100385562422, 1003855624224, 1003855624224, 1003855624224, 10038556242242, 10038556242242]" 0.0458 17464 1.0 0
8 26.027352809906006 "[1003855624, 100385562422, 100385562422, 100385562422, 1003855624224, 1003855624224, 1003855624224, 10038556242242, 10038556242242]" 0.0515 17464 1.0 0
9 32.7549729347229 "[100385562, 1003855624, 100385562422, 10038556242, 10038556244, 100385562422, 100385562422, 1003855624224, 1003855624224, 1003855624224, 10038556242242, 10038556242242]" 0.0687 17464 1.0 0
10 41.44138503074646 "[100385562, 100385562, 1003855624, 100385562422, 10038556242, 10038556242, 10038556244, 10038556244, 100385562422, 100385562422, 1003855624224, 1003855624224, 1003855624224, 10038556242242, 10038556242242]" 0.0859 17464 1.0 0
11 52.078672885894775 "[100385562, 100385562, 100385562, 1003855624, 1003855624, 100385562422, 10038556242, 10038556242, 10038556244, 10038556244, 100385562422, 100385562422, 1003855624224, 1003855624224, 1003855624224, 10038556242242, 10038556242242]" 0.0973 17464 1.0 0
12 64.18247413635254 "[10038556, 100385562, 100385562, 100385562, 1003855624, 1003855624, 1003855624, 100385562422, 10038556242, 10038556242, 10038556244, 10038556244, 100385562422, 100385562422, 1003855624224, 1003855624224, 1003855624224, 10038556242242, 10038556242242]" 0.1088 17464 1.0 0
13 77.59341096878052 "[10038556, 10038556, 100385562, 100385562, 100385562, 1003855624, 1003855624, 1003855624, 100385562422, 10038556242, 10038556242, 10038556244, 10038556244, 100385562422, 100385562422, 1003855624224, 1003855624224, 1003855624224, 10038556242242, 10038556242242]" 0.1145 17464 1.0 0
14 91.73468804359436 "[10038556, 10038556, 10038556, 100385562, 100385562, 100385562, 1003855624, 1003855624, 1003855624, 100385562422, 10038556242, 10038556242, 10038556244, 10038556244, 100385562422, 100385562422, 1003855624224, 1003855624224, 1003855624224, 10038556242242, 10038556242242]" 0.1202 17464 1.0 0
