Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711902361.9301708 "[20036, 20036112]" 0.0939 1065 1.0 0
1 1711902363.8471391 "[20036, 20036112]" 0.0939 1065 0.9 0
1 1711902365.780818 "[20036, 20036112]" 0.0939 1065 0.8 0
1 1711902367.655326 "[20036, 20036112]" 0.0939 1065 0.7 0
1 1711902369.5763872 "[20036, 20036112]" 0.0939 1065 0.6 0
1 1711902371.489522 "[20036, 20036112]" 0.0939 1065 0.5 0
1 1711902373.384798 "[20036, 20036112]" 0.0939 1065 0.4 0
1 1711902375.298176 [20036112] 0.0939 1065 0.3 0
2 1711902376.298176 [20036112] 0.0939 1065 0.3 0
3 1711902377.298176 [20036112] 0.0939 1065 0.3 0
4 1711902378.298176 "[20036, 20036112]" 0.0939 1065 0.3 0
1 1711902380.361064 [20036112] 0.0939 1065 0.2 0
2 1711902381.361064 [20036112] 0.0939 1065 0.2 0
3 1711902382.361064 [20036112] 0.0939 1065 0.2 0
4 1711902383.361064 [20036112] 0.0939 1065 0.2 0
5 1711902384.361064 [20036112] 0.0939 1065 0.2 0
6 1711902385.361064 [20036112] 0.0939 1065 0.2 0
7 1711902386.361064 [20036112] 0.0939 1065 0.2 0
8 1711902387.361064 "[20036, 20036112]" 0.0939 1065 0.2 0
1 1711902389.5787 [20036112] 0.0939 1065 0.1 0
2 1711902390.5787 [20036112] 0.0939 1065 0.1 0
3 1711902391.5787 "[20036, 20036112]" 0.0939 1065 0.1 0
