Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1713001457.02996 [20036112] 0.0939 1065 1.0 0
1 1.1997530460357666 "[20036, 20036112]" 0.1878 1065 1.0 0
2 2.558173894882202 "[20036, 20036, 20036112]" 0.2817 1065 1.0 0
3 3.754333972930908 "[20036, 20036, 20036, 20036112]" 0.2817 1065 1.0 0
0 1713001461.733005 [20036112] 0.0939 1065 0.9 0
1 1.0297880172729492 "[20036, 20036112]" 0.1878 1065 0.9 0
2 2.3418428897857666 "[20036, 20036, 20036112]" 0.2817 1065 0.9 0
3 3.437411069869995 "[20036, 20036, 20036, 20036112]" 0.2817 1065 0.9 0
0 1713001466.0359628 [20036112] 0.0939 1065 0.8 0
1 0.9849452972412109 "[20036, 20036112]" 0.1878 1065 0.8 0
2 2.385714292526245 "[20036, 20036, 20036112]" 0.2817 1065 0.8 0
3 3.5530900955200195 "[20036, 20036, 20036, 20036112]" 0.2817 1065 0.8 0
0 1713001470.530252 [20036112] 0.0939 1065 0.7 0
1 1.0923230648040771 "[20036, 20036112]" 0.1878 1065 0.7 0
2 2.627512216567993 "[20036, 20036, 20036112]" 0.2817 1065 0.7 0
3 4.792238235473633 "[20036, 20036, 20036112]" 0.2817 1065 0.7 0
4 6.3814520835876465 "[20036, 20036, 20036, 20036112]" 0.2817 1065 0.7 0
0 1713001477.7865899 [20036116] 0.0939 1065 0.6 0
1 1.0007412433624268 "[20036, 20036116]" 0.1878 1065 0.6 0
2 2.3087172508239746 "[20036, 20036, 20036116]" 0.2817 1065 0.6 0
3 3.559644937515259 "[20036, 20036, 20036, 20036116]" 0.2817 1065 0.6 0
0 1713001482.415167 [20036116] 0.0939 1065 0.5 0
1 1.137056827545166 "[20036, 20036116]" 0.1878 1065 0.5 0
2 2.661179780960083 "[20036, 20036116]" 0.1878 1065 0.5 0
3 4.078489065170288 "[20036, 20036, 20036116]" 0.2817 1065 0.5 0
4 6.394269943237305 "[20036, 20036, 20036116]" 0.2817 1065 0.5 0
5 8.538067817687988 "[20036, 20036, 20036116]" 0.2817 1065 0.5 0
6 10.663863897323608 "[20036, 20036, 20036116]" 0.2817 1065 0.5 0
7 11.843978881835938 "[20036, 20036, 20036, 20036116]" 0.2817 1065 0.5 0
0 1713001495.172268 [20036116] 0.0939 1065 0.4 0
1 1.0610930919647217 [20036116] 0.0939 1065 0.4 0
2 1.7077012062072754 [20036116] 0.0939 1065 0.4 0
