Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711901196.623522 "[200160602, 200160602, 20016060202, 200160602012]" 0.0254 15758 1.0 0
2 1711901197.623522 "[200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0444 15758 1.0 0
3 1711901198.623522 "[2001606, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0508 15758 1.0 0
4 1711901199.623522 "[2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0635 15758 1.0 0
5 1711901200.623522 "[2001606, 2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0762 15758 1.0 0
6 1711901201.623522 "[20016, 2001606, 2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0762 15758 1.0 0
1 1711901236.8659441 "[200160602, 200160602]" 0.0127 15758 0.9 0
2 1711901237.8659441 "[200160602, 200160602, 200160602, 20016060202, 200160602012]" 0.0317 15758 0.9 0
3 1711901238.8659441 "[2001606, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0508 15758 0.9 0
4 1711901239.8659441 "[2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0635 15758 0.9 0
5 1711901240.8659441 "[2001606, 2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0762 15758 0.9 0
6 1711901241.8659441 "[20016, 2001606, 2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0762 15758 0.9 0
1 1711901272.552636 "[200160602, 200160602, 200160602012]" 0.0190 15758 0.8 0
2 1711901273.552636 "[200160602, 200160602, 200160602, 20016060202, 200160602012, 200160602012]" 0.0381 15758 0.8 0
3 1711901274.552636 "[2001606, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0508 15758 0.8 0
4 1711901275.552636 "[2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0635 15758 0.8 0
5 1711901276.552636 "[2001606, 2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0762 15758 0.8 0
6 1711901277.552636 "[20016, 2001606, 2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0762 15758 0.8 0
1 1711901310.005913 [200160602] 0.0063 15758 0.7 0
2 1711901311.005913 "[200160602, 200160602, 20016060202, 200160602012]" 0.0254 15758 0.7 0
3 1711901312.005913 "[200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012]" 0.0381 15758 0.7 0
4 1711901313.005913 "[2001606, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0508 15758 0.7 0
5 1711901314.005913 "[2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0635 15758 0.7 0
6 1711901315.005913 "[2001606, 2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0762 15758 0.7 0
7 1711901316.005913 "[20016, 2001606, 2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0762 15758 0.7 0
1 1711901350.42765 "[200160602, 200160602, 200160602012]" 0.0190 15758 0.6 0
2 1711901351.42765 "[200160602, 200160602, 200160602, 200160602012, 200160602012]" 0.0317 15758 0.6 0
3 1711901352.42765 "[200160602, 200160602, 200160602, 20016060202, 200160602012, 200160602012]" 0.0381 15758 0.6 0
4 1711901353.42765 "[200160602, 200160602, 200160602, 20016060202, 200160602012, 200160602012]" 0.0381 15758 0.6 0
5 1711901354.42765 "[2001606, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0508 15758 0.6 0
6 1711901355.42765 "[2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0635 15758 0.6 0
7 1711901356.42765 "[2001606, 2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0762 15758 0.6 0
8 1711901357.42765 "[20016, 2001606, 2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0762 15758 0.6 0
1 1711901399.645397 "[200160602, 200160602, 20016060202]" 0.0190 15758 0.5 0
2 1711901400.645397 "[200160602, 200160602, 20016060202, 20016060202, 200160602012]" 0.0317 15758 0.5 0
3 1711901401.645397 "[200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0381 15758 0.5 0
4 1711901402.645397 "[200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0381 15758 0.5 0
5 1711901403.645397 "[200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0381 15758 0.5 0
6 1711901404.645397 "[200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0444 15758 0.5 0
7 1711901405.645397 "[2001606, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0508 15758 0.5 0
8 1711901406.645397 "[2001606, 2001606, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0571 15758 0.5 0
9 1711901407.645397 "[2001606, 2001606, 2001606, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0635 15758 0.5 0
10 1711901408.645397 "[20016, 2001606, 2001606, 2001606, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0635 15758 0.5 0
1 1711901461.411544 "[200160602, 20016060202]" 0.0127 15758 0.4 0
2 1711901462.411544 "[200160602, 20016060202, 200160602012]" 0.0190 15758 0.4 0
3 1711901463.411544 "[200160602, 20016060202, 200160602012, 200160602012]" 0.0254 15758 0.4 0
4 1711901464.411544 "[200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0381 15758 0.4 0
5 1711901465.411544 "[200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0381 15758 0.4 0
6 1711901466.411544 "[200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0444 15758 0.4 0
7 1711901467.411544 "[200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0444 15758 0.4 0
8 1711901468.411544 "[2001606, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0508 15758 0.4 0
9 1711901469.411544 "[2001606, 2001606, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0571 15758 0.4 0
10 1711901470.411544 "[2001606, 2001606, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0571 15758 0.4 0
11 1711901471.411544 "[2001606, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0698 15758 0.4 0
12 1711901472.411544 "[2001606, 2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0762 15758 0.4 0
13 1711901473.411544 "[20016, 2001606, 2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0762 15758 0.4 0
1 1711901548.8065379 "[200160602, 200160602012]" 0.0127 15758 0.3 0
2 1711901549.8065379 "[200160602, 200160602, 20016060202, 200160602012]" 0.0254 15758 0.3 0
3 1711901550.8065379 "[200160602, 200160602, 20016060202, 200160602012]" 0.0254 15758 0.3 0
4 1711901551.8065379 "[200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012]" 0.0381 15758 0.3 0
5 1711901552.8065379 "[200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012]" 0.0381 15758 0.3 0
6 1711901553.8065379 "[200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0444 15758 0.3 0
7 1711901554.8065379 "[200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0444 15758 0.3 0
8 1711901555.8065379 "[200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0444 15758 0.3 0
9 1711901556.8065379 "[2001606, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0508 15758 0.3 0
10 1711901557.8065379 "[2001606, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0508 15758 0.3 0
11 1711901558.8065379 "[2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0571 15758 0.3 0
12 1711901559.8065379 "[2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0571 15758 0.3 0
13 1711901560.8065379 "[2001608, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0635 15758 0.3 0
14 1711901561.8065379 "[2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0698 15758 0.3 0
15 1711901562.8065379 "[2001606, 2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0762 15758 0.3 0
16 1711901563.8065379 "[2001606, 2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0762 15758 0.3 0
17 1711901564.8065379 "[20016, 2001606, 2001608, 2001606, 2001606, 2001608, 200160602, 200160602, 200160602, 20016060202, 20016060202, 200160602012, 200160602012]" 0.0762 15758 0.3 0
1 1711901674.181466 "[200160602, 200160602, 200160602012]" 0.0190 15758 0.2 0
2 1711901675.181466 "[200160602, 200160602, 200160602012]" 0.0190 15758 0.2 0
3 1711901676.181466 "[200160602, 200160602, 200160602012]" 0.0190 15758 0.2 0
4 1711901677.181466 "[200160602, 200160602, 200160602012]" 0.0190 15758 0.2 0
5 1711901678.181466 "[200160602, 200160602, 200160602012]" 0.0190 15758 0.2 0
6 1711901679.181466 "[200160602, 200160602, 200160602, 20016060202, 200160602012, 200160602012]" 0.0381 15758 0.2 0
7 1711901680.181466 "[200160602, 200160602, 200160602, 20016060202, 200160602012, 200160602012]" 0.0381 15758 0.2 0
8 1711901681.181466 "[2001606, 200160602, 200160602, 200160602, 20016060202, 200160602012, 200160602012]" 0.0444 15758 0.2 0
