Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
1 1711895862.7107542 "[10068, 1006836]" 0.0036 55410 1.0 0
2 1711895863.7107542 "[10068, 10068, 1006836]" 0.0054 55410 1.0 0
3 1711895864.7107542 "[10068, 10068, 10068, 1006836]" 0.0072 55410 1.0 0
4 1711895865.7107542 "[1006, 10068, 10068, 10068, 1006836]" 0.0072 55410 1.0 0
1 1711895871.949266 "[10068, 1006836]" 0.0036 55410 0.9 0
2 1711895872.949266 "[10068, 10068, 1006836]" 0.0054 55410 0.9 0
3 1711895873.949266 "[10068, 10068, 10068, 1006836]" 0.0072 55410 0.9 0
4 1711895874.949266 "[1006, 10068, 10068, 10068, 1006836]" 0.0072 55410 0.9 0
1 1711895881.193294 "[10068, 1006836]" 0.0036 55410 0.8 0
2 1711895882.193294 "[10068, 10068, 1006836]" 0.0054 55410 0.8 0
3 1711895883.193294 "[10068, 10068, 10068, 1006836]" 0.0072 55410 0.8 0
4 1711895884.193294 "[1006, 10068, 10068, 10068, 1006836]" 0.0072 55410 0.8 0
1 1711895890.910553 "[10068, 1006836]" 0.0036 55410 0.7 0
2 1711895891.910553 "[10068, 1006836]" 0.0036 55410 0.7 0
3 1711895892.910553 "[10068, 1006836]" 0.0036 55410 0.7 0
4 1711895893.910553 "[10068, 10068, 1006836]" 0.0054 55410 0.7 0
5 1711895894.910553 "[10068, 10068, 10068, 1006836]" 0.0072 55410 0.7 0
6 1711895895.910553 "[10068, 10068, 10068, 1006836]" 0.0072 55410 0.7 0
7 1711895896.910553 "[1006, 10068, 10068, 10068, 1006836]" 0.0072 55410 0.7 0
1 1711895908.522625 [1006836] 0.0018 55410 0.6 0
2 1711895909.522625 "[10068, 1006836]" 0.0036 55410 0.6 0
3 1711895910.522625 "[10068, 1006836]" 0.0036 55410 0.6 0
4 1711895911.522625 "[10068, 1006836]" 0.0036 55410 0.6 0
5 1711895912.522625 "[10068, 1006836]" 0.0036 55410 0.6 0
6 1711895913.522625 "[10068, 1006836]" 0.0036 55410 0.6 0
7 1711895914.522625 "[10068, 1006836]" 0.0036 55410 0.6 0
8 1711895915.522625 "[10068, 10068, 1006836]" 0.0054 55410 0.6 0
