Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712497040.107862 [200541652] 0.0183 5454 1.0 0
1 1.1934950351715088 "[200541652, 200541652]" 0.0367 5454 1.0 0
2 2.8708999156951904 "[200541652, 200541652, 200541652]" 0.0550 5454 1.0 0
3 5.555792808532715 "[2005416, 200541652, 200541652, 200541652]" 0.0733 5454 1.0 0
4 8.72329592704773 "[2005416, 2005416, 200541652, 200541652, 200541652]" 0.0917 5454 1.0 0
5 12.689308881759644 "[2005416, 2005416, 2005416, 200541652, 200541652, 200541652]" 0.1100 5454 1.0 0
6 17.294972896575928 "[20054, 2005416, 2005416, 2005416, 200541652, 200541652, 200541652]" 0.1283 5454 1.0 0
7 23.60151696205139 "[20054, 20054, 2005416, 2005416, 2005416, 200541652, 200541652, 200541652]" 0.1467 5454 1.0 0
8 26.327456951141357 "[20054, 20054, 20054, 2005416, 2005416, 2005416, 200541652, 200541652, 200541652]" 0.1467 5454 1.0 0
0 1712497068.746691 [2005418154] 0.0183 5454 0.9 0
1 1.1932182312011719 "[2005418154, 2005418154]" 0.0367 5454 0.9 0
2 2.7602460384368896 "[2005418154, 2005418154, 2005418154]" 0.0550 5454 0.9 0
3 5.037527799606323 "[2005418, 2005418154, 2005418154, 2005418154]" 0.0733 5454 0.9 0
4 8.226014137268066 "[2005418, 2005418, 2005418154, 2005418154, 2005418154]" 0.0917 5454 0.9 0
5 12.162936925888062 "[2005418, 2005418, 2005418154, 2005418154, 2005418154]" 0.0917 5454 0.9 0
6 16.072574138641357 "[2005418, 2005418, 2005418, 2005418154, 2005418154, 2005418154]" 0.1100 5454 0.9 0
7 20.756951093673706 "[20054, 2005418, 2005418, 2005418, 2005418154, 2005418154, 2005418154]" 0.1283 5454 0.9 0
8 26.718029975891113 "[20054, 20054, 2005418, 2005418, 2005418, 2005418154, 2005418154, 2005418154]" 0.1467 5454 0.9 0
9 33.35517907142639 "[20054, 20054, 2005418, 2005418, 2005418, 2005418154, 2005418154, 2005418154]" 0.1467 5454 0.9 0
10 36.12125897407532 "[20054, 20054, 20054, 2005418, 2005418, 2005418, 2005418154, 2005418154, 2005418154]" 0.1467 5454 0.9 0
0 1712497107.220074 [2005418142] 0.0183 5454 0.8 0
1 1.2379419803619385 "[2005418142, 2005418142]" 0.0367 5454 0.8 0
2 2.979098081588745 "[2005418142, 2005418142, 2005418142]" 0.0550 5454 0.8 0
3 5.4315550327301025 "[200541814, 2005418142, 2005418142, 2005418142]" 0.0733 5454 0.8 0
4 8.715947151184082 "[200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.0917 5454 0.8 0
5 12.66116714477539 "[200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.1100 5454 0.8 0
6 17.353445053100586 "[2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.1283 5454 0.8 0
7 22.793832063674927 "[2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.1283 5454 0.8 0
8 28.380713939666748 "[2005418, 2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.1467 5454 0.8 0
9 35.5755660533905 "[2005418, 2005418, 2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.1650 5454 0.8 0
10 42.95166802406311 "[2005418, 2005418, 2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.1650 5454 0.8 0
11 50.46859288215637 "[2005418, 2005418, 2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.1650 5454 0.8 0
12 57.45816206932068 "[2005418, 2005418, 2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.1650 5454 0.8 0
13 64.95978593826294 "[20054, 2005418, 2005418, 2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.1834 5454 0.8 0
14 73.81057691574097 "[20054, 20054, 2005418, 2005418, 2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.2017 5454 0.8 0
15 77.62564897537231 "[20054, 20054, 20054, 2005418, 2005418, 2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.2017 5454 0.8 0
0 1712497188.1459599 [2005418122] 0.0183 5454 0.7 0
1 1.514648199081421 "[200541812, 2005418122]" 0.0367 5454 0.7 0
2 4.279304265975952 "[200541812, 2005418122]" 0.0367 5454 0.7 0
3 6.602331161499023 "[200541812, 200541812, 2005418122]" 0.0550 5454 0.7 0
