Iteracion "Tiempo Infección" "Nodos infectados" "Ratio infectados" "Nodos Totales" pC pR
0 1712936281.047471 [200541822] 0.0183 5454 1.0 0
1 1.266951084136963 "[200541822, 200541822]" 0.0367 5454 1.0 0
2 3.6312429904937744 "[20054182, 200541822, 200541822]" 0.0550 5454 1.0 0
3 5.841739177703857 "[20054182, 20054182, 200541822, 200541822]" 0.0733 5454 1.0 0
4 8.624582052230835 "[20054182, 20054182, 20054182, 200541822, 200541822]" 0.0917 5454 1.0 0
5 12.219351768493652 "[2005418, 20054182, 20054182, 20054182, 200541822, 200541822]" 0.1100 5454 1.0 0
6 16.419316053390503 "[2005418, 2005418, 20054182, 20054182, 20054182, 200541822, 200541822]" 0.1283 5454 1.0 0
7 21.257975816726685 "[2005418, 2005418, 2005418, 20054182, 20054182, 20054182, 200541822, 200541822]" 0.1467 5454 1.0 0
8 27.05386710166931 "[20054, 2005418, 2005418, 2005418, 20054182, 20054182, 20054182, 200541822, 200541822]" 0.1650 5454 1.0 0
9 33.53245401382446 "[20054, 20054, 2005418, 2005418, 2005418, 20054182, 20054182, 20054182, 200541822, 200541822]" 0.1834 5454 1.0 0
10 36.35914611816406 "[20054, 20054, 20054, 2005418, 2005418, 2005418, 20054182, 20054182, 20054182, 200541822, 200541822]" 0.1834 5454 1.0 0
0 1712936320.079021 [2005418142] 0.0183 5454 0.9 0
1 1.0992159843444824 "[2005418142, 2005418142]" 0.0367 5454 0.9 0
2 2.5008771419525146 "[2005418142, 2005418142, 2005418142]" 0.0550 5454 0.9 0
3 4.542306184768677 "[200541814, 2005418142, 2005418142, 2005418142]" 0.0733 5454 0.9 0
4 7.526139974594116 "[200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.0917 5454 0.9 0
5 11.201442956924438 "[200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.1100 5454 0.9 0
6 16.055533170700073 "[2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.1283 5454 0.9 0
7 21.361194133758545 "[2005418, 2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.1467 5454 0.9 0
8 26.707581996917725 "[2005418, 2005418, 2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.1650 5454 0.9 0
9 33.23367190361023 "[20054, 2005418, 2005418, 2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.1834 5454 0.9 0
10 40.17144703865051 "[20054, 20054, 2005418, 2005418, 2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.2017 5454 0.9 0
11 43.14278793334961 "[20054, 20054, 20054, 2005418, 2005418, 2005418, 200541814, 200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.2017 5454 0.9 0
0 1712936366.016601 [2005418172] 0.0183 5454 0.8 0
1 0.9898817539215088 [2005418172] 0.0183 5454 0.8 0
2 1.6326348781585693 "[2005418, 2005418172]" 0.0367 5454 0.8 0
3 2.9236927032470703 "[2005418, 2005418, 2005418172]" 0.0550 5454 0.8 0
4 4.852271795272827 "[2005418, 2005418, 2005418172]" 0.0550 5454 0.8 0
5 6.870086908340454 "[2005418, 2005418, 2005418, 2005418172]" 0.0733 5454 0.8 0
6 9.472848892211914 "[20054, 2005418, 2005418, 2005418, 2005418172]" 0.0917 5454 0.8 0
7 13.073026895523071 "[20054, 20054, 2005418, 2005418, 2005418, 2005418172]" 0.1100 5454 0.8 0
8 14.97463083267212 "[20054, 20054, 20054, 2005418, 2005418, 2005418, 2005418172]" 0.1100 5454 0.8 0
0 1712936382.625939 [2005418142] 0.0183 5454 0.7 0
1 1.2043592929840088 "[2005418142, 2005418142]" 0.0367 5454 0.7 0
2 2.703840970993042 "[2005418142, 2005418142, 2005418142]" 0.0550 5454 0.7 0
3 4.861729145050049 "[200541814, 2005418142, 2005418142, 2005418142]" 0.0733 5454 0.7 0
4 7.64657998085022 "[200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.0917 5454 0.7 0
5 11.001297235488892 "[200541814, 200541814, 2005418142, 2005418142, 2005418142]" 0.0917 5454 0.7 0
