Node,Status
"(807702.0344, 4738426.8291)",0
"(823091.6071, 4736100.5283)",0
"(805142.39, 4751389.2164)",0
"(804388.9885, 4750402.1017)",0
"(803804.7411, 4750624.8265)",0
"(804904.6802, 4750049.8105)",0
"(813379.2677, 4748862.4455)",0
"(803679.9783, 4731975.0755)",0
"(816691.6703, 4743625.1442)",0
"(817229.4116, 4730100.442)",0
"(825554.2142, 4728975.819)",0
"(802104.8435, 4749124.8348)",0
"(801429.8989, 4747174.8525)",0
"(807779.5576, 4743312.284)",0
"(800117.5106, 4744187.3991)",0
"(815691.7844, 4739725.2068)",0
"(808742.1587, 4735187.5429)",0
"(804317.5478, 4728250.1839)",0
"(813579.6856, 4728762.7313)",0
"(818891.7785, 4733262.9728)",0
"(817254.2263, 4739337.7888)",0
"(815629.2006, 4745412.5732)",0
"(822716.6525, 4723225.9735)",0
"(804817.2045, 4745199.7885)",0
"(800917.4433, 4745737.3699)",0
"(800342.4897, 4744849.8907)",0
"(805217.2084, 4741699.8073)",0
"(799267.606, 4741112.4575)",0
"(803754.7837, 4741762.3041)",0
"(801042.5059, 4738837.433)",0
"(810254.5081, 4739837.4589)",0
"(811466.9768, 4739012.5229)",0
"(812617.1288, 4732162.6761)",0
"(813154.5987, 4732187.7037)",0
"(814754.3805, 4736937.7337)",0
"(816329.2923, 4737887.7936)",0
"(816854.2967, 4736537.8513)",0
"(801042.4929, 4739812.4152)",0
"(802442.3183, 4751124.8497)",0
"(800992.4112, 4751199.8984)",0
"(809326.679, 4748306.4651)",0
"(804954.6776, 4749474.8022)",0
"(802880.6889, 4750698.3937)",0
"(802042.3449, 4750624.8564)",0
"(802767.2979, 4751612.3485)",0
"(803299.905, 4751097.8279)",0
"(806803.4821, 4746785.3943)",0
"(806829.5966, 4744987.2801)",0
"(807079.5621, 4748524.7814)",0
"(808404.5102, 4746549.8073)",0
"(811016.9039, 4744937.3938)",0
"(816579.1459, 4747112.5863)",0
"(809079.4619, 4749262.324)",0
"(810229.4071, 4749312.3512)",0
"(810829.3788, 4749162.3644)",0
"(810366.92, 4746637.365)",0
"(807850.2468, 4747523.052)",0
"(807779.5277, 4748399.7909)",0
"(811749.9798, 4746188.7197)",0
"(811129.3764, 4747724.8809)",0
"(814324.2737, 4747733.8636)",0
"(812429.3189, 4747624.9224)",0
"(804617.5966, 4735537.1765)",0
"(803804.8131, 4738749.8599)",0
"(811142.7336, 4742870.0358)",0
"(807254.6496, 4738449.9049)",0
"(817442.5354, 4732796.4754)",0
"(816879.3352, 4734725.3725)",0
"(818041.897, 4727388.0295)",0
"(813554.8225, 4724862.702)",0
"(815217.1097, 4727287.8336)",0
"(815592.0075, 4730450.349)",0
"(823965.7435, 4732371.6095)",0
"(821054.1583, 4734950.5156)",0
"(823541.6731, 4727613.3394)",0
"(824116.683, 4727488.3563)",0
"(824591.6832, 4724750.979)",0
"(826316.7242, 4726100.9623)",0
"(802638.8478, 4750951.9476)",0
"(802879.7924, 4750699.8344)",0
"(801815.947, 4750854.0155)",0
"(802779.7979, 4750674.8348)",0
"(807601.6648, 4744801.7957)",0
"(808167.0353, 4744212.2989)",0
"(806804.5943, 4745624.7808)",0
"(808347.5328, 4745429.4557)",0
"(808217.0319, 4744412.3008)",0
"(809116.9911, 4744562.3313)",0
"(808873.1757, 4745547.2365)",0
"(809032.4451, 4748679.8386)",0
"(808879.4769, 4748299.819)",0
"(810175.5688, 4748811.5277)",0
"(810079.4207, 4748299.8499)",0
"(810780.5996, 4748560.9024)",0
"(810604.3986, 4747999.8651)",0
"(810778.2108, 4747158.6991)",0
"(810979.3829, 4747774.8765)",0
"(810431.2697, 4745558.6075)",0
"(809529.4736, 4744437.3455)",0
"(811454.3662, 4747149.8938)",0
"(813766.779, 4745574.9941)",0
"(812806.3653, 4746329.89)",0
"(811554.3647, 4746774.8993)",0
"(815517.6838, 4746808.8902)",0
"(816729.1385, 4747337.5873)",0
"(814454.2326, 4747574.9991)",0
"(803581.5011, 4748899.8555)",0
"(804554.704, 4748149.7957)",0
"(800092.48, 4748412.3991)",0
"(800417.4526, 4749787.4005)",0
"(800467.4477, 4750299.9049)",0
"(802191.1641, 4746795.2557)",0
"(803104.7932, 4746149.7984)",0
"(805229.6924, 4743199.7832)",0
"(802404.8498, 4744074.8142)",0
"(800930.8304, 4743273.3654)",0
"(801979.8844, 4743324.8293)",0
"(800900.3818, 4728413.626)",0
"(801480.2595, 4726112.8016)",0
"(800380.2508, 4730500.2158)",0
"(807054.704, 4735962.4783)",0
"(800642.6702, 4732775.1258)",0
"(801642.6761, 4729925.2001)",0
"(803955.0416, 4729187.6649)",0
"(803279.8604, 4736637.3905)",0
"(801792.5121, 4735324.9925)",0
"(805842.3281, 4733600.0478)",0
"(806404.8517, 4731862.6235)",0
"(801292.5791, 4734312.5481)",0
"(805667.2843, 4735387.4762)",0
"(803367.3704, 4736049.9104)",0
"(803417.385, 4735487.4334)",0
"(802917.4889, 4733287.5368)",0
"(804792.4021, 4732762.5628)",0
"(802992.5056, 4732562.5639)",0
"(806176.752, 4736410.67)",0
"(805304.7587, 4737199.9101)",0
"(802191.6625, 4732429.0947)",0
"(803654.9765, 4732075.0712)",0
"(802684.2687, 4730362.3044)",0
"(804179.7767, 4730715.0431)",0
"(807616.0866, 4741328.4363)",0
"(806342.1536, 4741449.8159)",0
"(808329.5729, 4740499.8717)",0
"(808417.0254, 4744024.8075)",0
"(817166.6475, 4744162.6491)",0
"(816941.7308, 4739725.2683)",0
"(806892.1421, 4740249.851)",0
"(806717.1405, 4740999.8293)",0
"(809367.0339, 4740362.413)",0
"(810054.5002, 4740737.4278)",0
"(808792.0222, 4742537.3318)",0
"(809067.0055, 4742849.8337)",0
"(811641.8845, 4743937.4214)",0
"(812279.3548, 4744162.444)",0
"(816416.6854, 4743250.1382)",0
"(810016.9837, 4741774.8988)",0
"(809363.046, 4743362.3157)",0
"(809854.4792, 4742424.8753)",0
"(815402.3273, 4743821.4396)",0
"(813554.3092, 4743125.0097)",0
"(816745.6357, 4741044.7967)",0
"(815854.2257, 4742400.1372)",0
"(813673.7868, 4738027.3521)",0
"(810779.5521, 4736500.0634)",0
"(809844.6692, 4735075.3093)",0
"(810779.5892, 4735275.0904)",0
"(808451.8987, 4731486.0364)",0
"(811029.594, 4734850.1054)",0
"(814427.1556, 4731534.5886)",0
"(814479.4595, 4734525.2466)",0
"(816917.6071, 4733229.6387)",0
"(816016.9162, 4733162.8439)",0
"(817429.3339, 4733625.4092)",0
"(818766.8531, 4727038.0888)",0
"(812004.8104, 4727362.6766)",0
"(815117.0666, 4729250.3251)",0
"(815442.0101, 4730737.8399)",0
"(819304.1642, 4728792.0513)",0
"(817404.3967, 4730525.4463)",0
"(814476.6509, 4728093.2596)",0
"(816282.6651, 4730102.3156)",0
"(818317.5946, 4734380.2329)",0
"(817479.3043, 4734950.3937)",0
"(817981.379, 4737530.3246)",0
"(818529.2554, 4735275.4233)",0
"(820045.1233, 4742089.1095)",0
"(819129.2263, 4735550.4374)",0
"(822153.9838, 4728335.6113)",0
"(820929.1631, 4734975.5106)",0
"(824868.5812, 4735442.0982)",0
"(827504.1101, 4734888.177)",0
"(821929.1374, 4734675.5495)",0
"(825754.161, 4733488.1546)",0
"(826541.7096, 4731888.22)",0
"(824841.6931, 4724463.4913)",0
"(823841.6376, 4734400.5929)",0
"(823641.7004, 4731175.6863)",0
"(826491.7265, 4730800.7574)",0
"(823416.6789, 4728625.793)",0
"(824604.152, 4733426.4532)",0
"(823679.1689, 4732875.6353)",0
"(825699.2152, 4731641.5739)",0
"(824979.2132, 4731225.7084)",0
"(825168.345, 4726747.2925)",0
"(810416.1473, 4744745.861)",0
"(809816.9608, 4744449.8553)",0
"(810454.4241, 4745574.8723)",0
"(814818.3675, 4746088.4692)",0
"(815666.696, 4745762.57)",0
"(814729.2257, 4747000.0166)",0
"(815966.6792, 4746237.5757)",0
"(817041.6273, 4747262.5979)",0
"(816425.3687, 4746102.3506)",0
"(816529.1522, 4746575.0932)",0
"(816936.4024, 4746746.942)",0
"(802227.8762, 4748730.3198)",0
"(801817.3651, 4748462.3402)",0
"(802354.827, 4749099.8259)",0
"(801154.9048, 4749624.8735)",0
"(801417.3862, 4750237.3723)",0
"(801732.0515, 4749280.1216)",0
"(800467.4493, 4749799.8989)",0
"(801898.7876, 4749696.595)",0
"(800685.2081, 4747033.868)",0
"(799842.5107, 4746599.9082)",0
"(800517.455, 4747962.3845)",0
"(801026.822, 4747519.8675)",0
"(803913.464, 4745549.2705)",0
"(803054.7968, 4745949.7981)",0
"(801795.0893, 4745200.3287)",0
"(802654.8275, 4744924.8061)",0
"(804777.7929, 4743921.6152)",0
"(805317.1824, 4744224.7848)",0
"(804254.7431, 4743499.7868)",0
"(805367.1949, 4742162.2966)",0
"(806467.1235, 4743699.7801)",0
"(805152.2384, 4742669.0519)",0
"(806068.6839, 4743363.1209)",0
"(805654.6708, 4742999.7816)",0
"(801075.092, 4744159.7739)",0
"(802129.8708, 4743799.8241)",0
"(800083.7456, 4743272.7927)",0
"(799217.5867, 4742737.4338)",0
"(800929.9597, 4743274.8689)",0
"(803542.1635, 4742484.9212)",0
"(801929.8904, 4742924.8309)",0
"(800350.5961, 4741498.5224)",0
"(801629.9237, 4741824.8565)",0
"(803431.3375, 4740569.1931)",0
"(802579.8745, 4740099.8528)",0
"(801952.2407, 4739206.3704)",0
"(802754.8674, 4739574.8559)",0
"(801976.5255, 4729261.8661)",0
