Nombre;Codigo rio;Vertiente;Numero de nodos;Longitud total (m)
RIO EBRO;2004;M;117327;938319,89
RIO TAJO;1006;A;78845;847295,71
RIO DUERO;1004;A;94936;729459,11
RIO GUADIANA;1008;A;69284;700041,88
RIO GUADALQUIVIR;10094;A;91030;649368,88
RIO JUCAR;2002;M;25434;504313,59
RIO SEGURA;20016;M;22546;325425,68
RIO MIÑO;10038;A;24942;316196,25
RIU TER;20054;M;7759;215759,61
RIU LLOBREGAT;20052;M;9331;162295,61
RIU PALANCIA;20036;M;1521;89483,83
RIO BARBATE;10098;A;2178;77555,95
RIO GARONA;10034;A;876;39293,36
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
