Node,Status
"(615949.1173, 4239800.5628)",0
"(526375.8577, 4216229.9831)",0
"(706728.8454, 4220779.2169)",0
"(638934.4824, 4177851.6066)",0
"(603526.4391, 4177254.959)",0
"(669201.6779, 4206629.8613)",0
"(613151.6989, 4207954.9225)",0
"(593176.3074, 4204354.8408)",0
"(549239.3088, 4255967.7191)",0
"(662389.6489, 4273654.6255)",0
"(671689.6448, 4274192.0232)",0
"(664402.0794, 4258117.1548)",0
"(671789.6027, 4262292.089)",0
"(694026.736, 4229154.502)",0
"(678176.7806, 4223279.6682)",0
"(671826.7157, 4212854.7941)",0
"(675489.0361, 4199192.2833)",0
"(659114.189, 4208067.3919)",0
"(655414.1573, 4205254.8699)",0
"(638276.6077, 4204379.8246)",0
"(659939.2083, 4209967.3969)",0
"(654751.8881, 4227729.8477)",0
"(647001.9949, 4241904.848)",0
"(645052.1365, 4259979.9015)",0
"(627801.9681, 4245579.9523)",0
"(589351.3057, 4215354.9874)",0
"(604276.8728, 4230380.1062)",0
"(594851.8352, 4240580.295)",0
"(611939.4771, 4242030.056)",0
"(573739.2589, 4260555.1511)",0
"(547762.8655, 4220580.104)",0
"(540176.3214, 4241780.6025)",0
"(539525.5307, 4215879.8629)",0
"(695939.1569, 4214042.0658)",0
"(691864.1534, 4213967.0965)",0
"(685301.6505, 4211354.6286)",0
"(680626.6888, 4214554.6523)",0
"(674239.23, 4217317.2048)",0
"(658414.1957, 4208767.3903)",0
"(658039.1945, 4208654.8884)",0
"(658864.2003, 4209204.8931)",0
"(663051.7838, 4217467.4056)",0
"(656351.8129, 4220367.3856)",0
"(646889.2276, 4214417.3513)",0
"(644251.7504, 4218567.3469)",0
"(639014.2346, 4219454.8388)",0
"(639789.2502, 4220754.8389)",0
"(645864.358, 4228167.3449)",0
"(635589.2621, 4221542.3381)",0
"(642064.4364, 4236979.8471)",0
"(640689.4315, 4236867.3472)",0
"(636514.3626, 4230542.3389)",0
"(636664.4138, 4235654.8471)",0
"(634139.3402, 4228592.3416)",0
"(632464.3265, 4227192.3476)",0
"(629639.4271, 4238892.3953)",0
"(621501.9208, 4238667.4566)",0
"(619139.4326, 4239892.4808)",0
"(618226.9326, 4239667.4885)",0
"(616314.4243, 4238405.0027)",0
"(615889.4207, 4237967.5056)",0
"(612939.4179, 4236880.0355)",0
"(612289.4173, 4236580.0417)",0
"(610101.9136, 4235517.562)",0
"(617176.9278, 4238917.496)",0
"(621114.4401, 4241142.4696)",0
"(619989.4523, 4242567.483)",0
"(613414.4557, 4240655.0379)",0
"(588114.0448, 4233630.4161)",0
"(590989.2624, 4246992.7227)",0
"(590989.3774, 4258130.0334)",0
"(588251.7095, 4247405.2308)",0
"(582351.6213, 4248867.7468)",0
"(579551.5027, 4245080.335)",0
"(572101.6677, 4255892.7197)",0
"(573901.6102, 4252992.7498)",0
"(570063.996, 4248955.3255)",0
"(570826.6488, 4255092.7371)",0
"(569876.6427, 4254792.7446)",0
"(567989.0592, 4251617.7945)",0
"(562963.7064, 4239367.9909)",0
"(552938.8854, 4242618.1873)",0
"(550526.4297, 4242530.7267)",0
"(544576.2839, 4239293.1791)",0
"(541363.5641, 4236080.5522)",0
"(538900.8086, 4231142.8179)",0
"(537551.0048, 4237142.9743)",0
"(525725.9384, 4211067.2706)",0
"(642852.4413, 4308179.4537)",0
"(639114.966, 4310179.45)",0
"(634639.9656, 4309604.4666)",0
"(642914.9183, 4302454.4873)",0
"(639277.4356, 4299517.0091)",0
"(632964.948, 4305491.9952)",0
"(639939.9319, 4299842.0066)",0
"(634689.9477, 4304754.4927)",0
"(641589.9262, 4302716.987)",0
"(635102.446, 4303142.0019)",0
"(633389.9455, 4302267.0156)",0
"(631852.4465, 4305642.0005)",0
"(630514.9273, 4293342.1197)",0
"(630289.9386, 4301104.5434)",0
"(628852.433, 4298392.0763)",0
"(702426.689, 4217141.9981)",0
"(700401.6778, 4216417.0159)",0
"(694639.1596, 4215342.0749)",0
"(691576.6606, 4215342.0911)",0
"(691101.6572, 4214642.0952)",0
"(691376.6524, 4213892.0969)",0
"(689489.1409, 4212842.0974)",0
"(681789.2492, 4221167.1406)",0
"(680589.2698, 4223029.6454)",0
"(660014.2311, 4212242.4012)",0
"(652089.296, 4219979.873)",0
"(646714.2405, 4216029.8521)",0
"(647014.3321, 4225342.3505)",0
"(643964.3011, 4223579.8451)",0
"(646039.3262, 4225154.8486)",0
"(645964.3355, 4226054.8475)",0
"(640151.7695, 4222217.3392)",0
"(641864.3231, 4226254.8407)",0
"(638364.2687, 4222279.8382)",0
"(638239.289, 4223992.3379)",0
"(643339.35, 4228254.8419)",0
"(637164.3373, 4228242.3383)",0
"(635889.3376, 4228317.3388)",0
"(637389.366, 4230792.3385)",0
"(636889.3746, 4231604.8391)",0
"(638926.919, 4235992.3461)",0
"(638289.4138, 4235517.3457)",0
"(631951.8676, 4231267.3534)",0
"(631114.3673, 4231292.3576)",0
"(630939.3663, 4231204.8584)",0
"(629426.9035, 4235767.3816)",0
"(625014.3606, 4230629.897)",0
"(623476.869, 4231692.4128)",0
"(623314.3729, 4232217.4161)",0
"(619301.876, 4232492.4514)",0
"(619701.8839, 4233617.4521)",0
"(618814.3845, 4233617.4605)",0
"(619189.3815, 4233229.9554)",0
"(618551.8771, 4232567.4587)",0
"(617964.3784, 4232692.4647)",0
"(612989.4189, 4237017.5355)",0
"(612289.458, 4240442.5499)",0
"(613814.4513, 4240392.533)",0
"(616376.9268, 4238667.5028)",0
"(617364.4553, 4241967.5032)",0
"(609464.5225, 4246005.0781)",0
"(605714.5579, 4252692.5625)",0
"(602239.5241, 4252530.0733)",0
"(602414.4917, 4244592.6698)",0
"(600464.4942, 4250367.6154)",0
"(599489.4783, 4251080.1067)",0
"(595814.3911, 4249680.1534)",0
"(595626.9193, 4254267.5523)",0
"(588539.2922, 4253942.6103)",0
"(590389.3043, 4252342.6252)",0
"(591564.2982, 4249467.6738)",0
"(588139.2393, 4249992.6814)",0
"(589914.2969, 4252380.1278)",0
"(587864.2683, 4252830.1347)",0
"(586939.2191, 4250092.6866)",0
"(585451.6813, 4249217.7106)",0
"(583589.2004, 4252692.674)",0
"(583764.143, 4248680.2373)",0
"(580539.1743, 4253680.1888)",0
"(579514.0985, 4249930.2545)",0
"(579189.168, 4254005.1954)",0
"(573551.5698, 4251242.777)",0
"(570464.0444, 4250842.7979)",0
"(568851.4666, 4248017.8432)",0
"(565863.9658, 4248430.3458)",0
"(566913.9274, 4246892.8669)",0
"(564988.9467, 4247767.8608)",0
"(561263.9195, 4246880.4008)",0
"(559326.1393, 4237593.0684)",0
"(559451.4329, 4246717.937)",0
"(559751.3771, 4244955.4746)",0
"(555713.5009, 4234493.1158)",0
"(553038.4992, 4234768.1783)",0
"(553351.33, 4241618.183)",0
"(552688.867, 4242180.696)",0
"(545988.9133, 4241143.2267)",0
"(552551.0402, 4235693.2092)",0
"(551763.5615, 4236143.2334)",0
"(551026.0563, 4235843.2213)",0
"(552238.4584, 4233993.1781)",0
"(545688.5635, 4235193.1374)",0
"(544638.5177, 4234393.0831)",0
"(552613.4009, 4232718.1422)",0
"(545625.7556, 4229492.9454)",0
"(546713.4032, 4232243.0728)",0
"(545188.4358, 4232793.0464)",0
"(544388.2473, 4229217.9002)",0
"(540538.3502, 4231467.8718)",0
"(542513.2033, 4228292.8175)",0
"(539938.2623, 4229630.2992)",0
"(540863.1316, 4226867.7407)",0
"(538375.5589, 4222942.6077)",0
"(532738.2566, 4218492.573)",0
"(529738.2926, 4225480.1319)",0
"(529088.2987, 4225417.6315)",0
"(532588.2632, 4218205.0733)",0
"(530913.3201, 4215129.9009)",0
"(646739.3134, 4223642.3514)",0
"(643589.3114, 4224667.344)",0
"(643601.8427, 4227517.3426)",0
"(642226.8583, 4229292.3402)",0
"(612451.9188, 4236817.541)",0
"(612676.9178, 4236767.538)",0
"(612776.952, 4240067.544)",0
"(613901.9486, 4240167.5316)",0
"(615289.4192, 4237742.5108)",0
"(616139.4285, 4238805.0054)",0
"(613189.4615, 4241105.0412)",0
"(616126.9823, 4244567.5186)",0
"(612064.4797, 4242317.5551)",0
"(611114.4982, 4243617.5659)",0
"(616314.5213, 4249617.5204)",0
"(614614.5298, 4249592.5305)",0
"(614614.5327, 4250067.5288)",0
"(611039.545, 4249580.0556)",0
"(605964.5522, 4250405.0895)",0
"(607414.5216, 4245480.1055)",0
"(605564.5268, 4245867.6264)",0
"(604214.5409, 4250642.5964)",0
"(594414.385, 4252730.0932)",0
"(593276.856, 4251892.6175)",0
"(592564.3168, 4249105.177)",0
"(592789.3405, 4251242.6334)",0
"(590389.3018, 4252105.1296)",0
"(564263.9225, 4246930.3799)",0
"(564476.3543, 4244467.9246)",0
"(562688.8184, 4243355.4638)",0
"(561751.3658, 4245092.9346)",0
"(561088.8722, 4245192.9428)",0
"(560451.4045, 4246092.9339)",0
"(559101.3459, 4243743.0177)",0
"(558988.7126, 4239755.5621)",0
"(553813.7639, 4240355.6793)",0
"(553526.1116, 4237168.2055)",0
"(552413.6182, 4237293.2305)",0
"(548663.6974, 4237805.7306)",0
"(546663.4452, 4232993.0948)",0
"(550463.4456, 4233518.1586)",0
"(546663.2435, 4229392.9703)",0
"(543900.7795, 4229717.9049)",0
"(543600.7623, 4229392.8847)",0
"(533813.2126, 4221642.5902)",0
"(533263.2338, 4220392.5819)",0
"(533000.7445, 4219767.5792)",0
"(529513.2905, 4222042.5962)",0
"(528163.3025, 4223142.6081)",0
"(528525.8048, 4219742.5696)",0
"(527450.8166, 4220242.5753)",0
"(524413.4414, 4212092.3532)",0
"(616639.4747, 4243855.014)",0
"(616439.4736, 4243617.5155)",0
"(612089.485, 4242805.0555)",0
"(616964.4865, 4245542.5129)",0
"(614889.5159, 4248042.5285)",0
"(611664.5406, 4249355.0516)",0
"(611539.5337, 4248405.054)",0
"(607827.0466, 4249117.5849)",0
"(604114.5308, 4248530.1206)",0
"(605777.0275, 4246017.6229)",0
"(604114.5336, 4249005.117)",0
"(600176.4651, 4176054.9921)",0
"(599888.9387, 4194179.775)",0
"(583538.6783, 4179542.3505)",0
"(572550.6635, 4178979.9391)",0
"(603613.9551, 4184117.3702)",0
"(604313.9583, 4184779.8666)",0
"(599063.9751, 4177954.9622)",0
"(592026.5367, 4178554.9933)",0
"(593213.9399, 4185454.7734)",0
"(593763.9695, 4183792.3294)",0
"(590938.9875, 4182342.3696)",0
"(590763.9693, 4182942.3457)",0
"(600938.9548, 4180342.4145)",0
"(601826.4507, 4180792.4075)",0
"(601501.4517, 4181042.403)",0
"(599526.466, 4181717.3908)",0
"(599238.9689, 4181554.8937)",0
"(592164.0129, 4181529.9019)",0
"(635249.4917, 4211104.905)",0
"(655851.7209, 4211454.8849)",0
"(610614.1409, 4203117.4134)",0
"(610314.1923, 4208892.4344)",0
"(609239.1134, 4201867.4085)",0
"(604026.5805, 4206417.4352)",0
"(612664.1657, 4204467.4149)",0
"(614851.6689, 4203217.4084)",0
"(613814.1474, 4201417.4053)",0
"(612851.6229, 4199267.3982)",0
"(610664.1923, 4208567.4324)",0
"(607801.6646, 4208817.4419)",0
"(605914.1315, 4207792.4431)",0
"(605739.1263, 4207542.4425)",0
"(614114.1833, 4205517.4145)",0
"(611414.1409, 4202504.9102)",0
"(609772.4386, 4216996.3015)",0
"(622701.8783, 4232929.924)",0
"(589563.6415, 4200517.2401)",0
"(580988.167, 4205254.8511)",0
"(580050.5822, 4203629.8241)",0
"(579850.5149, 4199429.7139)",0
"(591463.7552, 4205504.8398)",0
"(591163.7452, 4205592.3379)",0
"(586988.5686, 4208654.8899)",0
"(583488.3167, 4204404.8213)",0
"(588713.6017, 4201192.2502)",0
"(584213.3572, 4203529.7992)",0
"(585975.9575, 4200542.2267)",0
"(584488.3625, 4199642.203)",0
"(581125.6442, 4201767.2649)",0
"(589038.3713, 4266570.3609)",0
"(616351.9547, 4241580.0109)",0
"(665165.1732, 4270754.6221)",0
"(669352.1121, 4269929.5612)",0
"(671177.1292, 4271929.5333)",0
